MEF.identity,Pluripotency,G1.S,G2.M,Cell.cycle,ER.stress,Epithelial.identity,ECM.rearrangement,Apoptosis,SASP,Neural.identity,Neural.progenitor,Mesoderm,Endoderm,XEN-like cell,Placental.identity,X.reactivation,Candidate.from.array
,,,,,,,,,,,,,,,,Btk,
,,,,,,,,,,,,,,,,Rpl36a,
,,,,,,,,,,,,,,,,Gla,
,,,,,,,,,,,,,,,,Hnrnph2,
,,,,,,,,,,,,,,,,Armcx4,
,,,,,,,,,,,,,,,,Armcx1,
,,,,,,,,,,,,,,,,Armcx6,
,,,,,,,,,,,,,,,,Armcx3,
,,,,,,,,,,,,,,,,Armcx2,
,,,,,,,,,,,,,,,,Nxf2,
,,,,,,,,,,,,,,,,Zmat1,
,,,,,,,,,,,,,,,,Gm15023,
,,,,,,,,,,,,,,,,Tceal6,
,,,,,,,,,,,,,,,,Pramel3,
,,,,,,,,,,,,,,,,Gm5128,
,,,,,,,,,,,,,,,,Gm7903,
,,,,,,,,,,,,,,,,AV320801,
,,,,,,,,,,,,,,,,Nxf7,
,,,,,,,,,,,,,,,,Prame,
,,,,,,,,,,,,,,,,Tcp11x2,
,,,,,,,,,,,,,,,,Tmsb15a,
,,,,,,,,,,,,,,,,Armcx5,
,,,,,,,,,,,,,,,,Gprasp1,
,,,,,,,,,,,,,,,,Bhlhb9,
,,,,,,,,,,,,,,,,Gprasp2,
,,,,,,,,,,,,,,,,Arxes2,
,,,,,,,,,,,,,,,,Arxes1,
,,,,,,,,,,,,,,,,Bex2,
,,,,,,,,,,,,,,,,Nxf3,
,,,,,,,,,,,,,,,,Bex4,
,,,,,,,,,,,,,,,,Tceal8,
,,,,,,,,,,,,,,,,Tceal5,
,,,,,,,,,,,,,,,,Bex1,
,,,,,,,,,,,,,,,,Tceal7,
,,,,,,,,,,,,,,,,Wbp5,
,,,,,,,,,,,,,,,,Ngfrap1,
,,,,,,,,,,,,,,,,Kir3dl2,
,,,,,,,,,,,,,,,,Kir3dl1,
,,,,,,,,,,,,,,,,Tceal3,
,,,,,,,,,,,,,,,,Tceal1,
,,,,,,,,,,,,,,,,Morf4l2,
,,,,,,,,,,,,,,,,Glra4,
,,,,,,,,,,,,,,,,Plp1,
,,,,,,,,,,,,,,,,Rab9b,
,,,,,,,,,,,,,,,,H2bfm,
,,,,,,,,,,,,,,,,Tmsb15l,
,,,,,,,,,,,,,,,,Tmsb15b2,
,,,,,,,,,,,,,,,,Tmsb15b1,
,,,,,,,,,,,,,,,,Slc25a53,
,,,,,,,,,,,,,,,,Zcchc18,
,,,,,,,,,,,,,,,,Fam199x,
,,,,,,,,,,,,,,,,Esx1,
,,,,,,,,,,,,,,,,Il1rapl2,
,,,,,,,,,,,,,,,,Tex13a,
,,,,,,,,,,,,,,,,Nrk,
,,,,,,,,,,,,,,,,Serpina7,
,,,,,,,,,,,,,,,,4930513O06Rik,
,,,,,,,,,,,,,,,,4933428M09Rik,
,,,,,,,,,,,,,,,,Mum1l1,
,,,,,,,,,,,,,,,,Trap1a,
,,,,,,,,,,,,,,,,D330045A20Rik,
,,,,,,,,,,,,,,,,Rnf128,
,,,,,,,,,,,,,,,,Tbc1d8b,
,,,,,,,,,,,,,,,,Gm15013,
,,,,,,,,,,,,,,,,Ripply1,
,,,,,,,,,,,,,,,,Cldn2,
,,,,,,,,,,,,,,,,Morc4,
,,,,,,,,,,,,,,,,Rbm41,
,,,,,,,,,,,,,,,,Nup62cl,
,,,,,,,,,,,,,,,,Pih1h3b,
,,,,,,,,,,,,,,,,Gm15046,
,,,,,,,,,,,,,,,,Frmpd3,
,,,,,,,,,,,,,,,,Prps1,
,,,,,,,,,,,,,,,,Tsc22d3,
,,,,,,,,,,,,,,,,Mid2,
,,,,,,,,,,,,,,,,Eif2c5,
,,,,,,,,,,,,,,,,Tex13,
,,,,,,,,,,,,,,,,Vsig1,
,,,,,,,,,,,,,,,,Psmd10,
,,,,,,,,,,,,,,,,Atg4a,
,,,,,,,,,,,,,,,,Col4a6,
,,,,,,,,,,,,,,,,Col4a5,
,,,,,,,,,,,,,,,,Irs4,
,,,,,,,,,,,,,,,,Gm15295,
,,,,,,,,,,,,,,,,Gm15294,
,,,,,,,,,,,,,,,,Gm15298,
,,,,,,,,,,,,,,,,Gucy2f,
,,,,,,,,,,,,,,,,Nxt2,
,,,,,,,,,,,,,,,,Kcne1l,
,,,,,,,,,,,,,,,,Acsl4,
,,,,,,,,,,,,,,,,Tmem164,
,,,,,,,,,,,,,,,,Ammecr1,
,,,,,,,,,,,,,,,,Rgag1,
,,,,,,,,,,,,,,,,Chrdl1,
,,,,,,,,,,,,,,,,Pak3,
,,,,,,,,,,,,,,,,Capn6,
,,,,,,,,,,,,,,,,Dcx,
,,,,,,,,,,,,,,,,A730046J19Rik,
,,,,,,,,,,,,,,,,Alg13,
,,,,,,,,,,,,,,,,Trpc5,
,,,,,,,,,,,,,,,,Trpc5os,
,,,,,,,,,,,,,,,,Zcchc16,
,,,,,,,,,,,,,,,,Lhfpl1,
,,,,,,,,,,,,,,,,Amot,
,,,,,,,,,,,,,,,,Htr2c,
,,,,,,,,,,,,,,,,Il13ra2,
,,,,,,,,,,,,,,,,Lrch2,
,,,,,,,,,,,,,,,,Gm15128,
,,,,,,,,,,,,,,,,Gm15080,
,,,,,,,,,,,,,,,,Gm15107,
,,,,,,,,,,,,,,,,Gm15114,
,,,,,,,,,,,,,,,,Gm8334,
,,,,,,,,,,,,,,,,Gm15127,
,,,,,,,,,,,,,,,,Luzp4,
,,,,,,,,,,,,,,,,Gm15099,
,,,,,,,,,,,,,,,,Ott,
,,,,,,,,,,,,,,,,Gm15092,
,,,,,,,,,,,,,,,,Gm15093,
,,,,,,,,,,,,,,,,Gm15100,
,,,,,,,,,,,,,,,,Gm15085,
,,,,,,,,,,,,,,,,Gm15086,
,,,,,,,,,,,,,,,,Gm10439,
,,,,,,,,,,,,,,,,Gm15097,
,,,,,,,,,,,,,,,,Gm15091,
,,,,,,,,,,,,,,,,Gm15104,
,,,,,,,,,,,,,,,,Tmem29,
,,,,,,,,,,,,,,,,Apex2,
,,,,,,,,,,,,,,,,Alas2,
,,,,,,,,,,,,,,,,Pfkfb1,
,,,,,,,,,,,,,,,,Tro,
,,,,,,,,,,,,,,,,Maged2,
,,,,,,,,,,,,,,,,Gm27191,
,,,,,,,,,,,,,,,,Gnl3l,
,,,,,,,,,,,,,,,,Fgd1,
,,,,,,,,,,,,,,,,Tsr2,
,,,,,,,,,,,,,,,,Gm15138,
,,,,,,,,,,,,,,,,Wnk3,
,,,,,,,,,,,,,,,,A230072E10Rik,
,,,,,,,,,,,,,,,,Fam120c,
,,,,,,,,,,,,,,,,Phf8,
,,,,,,,,,,,,,,,,Huwe1,
,,,,,,,,,,,,,,,,Hsd17b10,
,,,,,,,,,,,,,,,,Ribc1,
,,,,,,,,,,,,,,,,Smc1a,
,,,,,,,,,,,,,,,,Iqsec2,
,,,,,,,,,,,,,,,,Kdm5c,
,,,,,,,,,,,,,,,,Kantr,
,,,,,,,,,,,,,,,,Tspyl2,
,,,,,,,,,,,,,,,,Gpr173,
,,,,,,,,,,,,,,,,Cldn34a,
,,,,,,,,,,,,,,,,Shroom2,
,,,,,,,,,,,,,,,,Gpr143,
,,,,,,,,,,,,,,,,Usp51,
,,,,,,,,,,,,,,,,Mageh1,
,,,,,,,,,,,,,,,,Foxr2,
,,,,,,,,,,,,,,,,Rragb,
,,,,,,,,,,,,,,,,Klf8,
,,,,,,,,,,,,,,,,Ubqln2,
,,,,,,,,,,,,,,,,Cypt3,
,,,,,,,,,,,,,,,,Kctd12b,
,,,,,,,,,,,,,,,,RP23-106P7.5,
,,,,,,,,,,,,,,,,2210013O21Rik,
,,,,,,,,,,,,,,,,Spin2c,
,,,,,,,,,,,,,,,,Samt1,
,,,,,,,,,,,,,,,,4921511M17Rik,
,,,,,,,,,,,,,,,,Gm10057,
,,,,,,,,,,,,,,,,Gm15140,
,,,,,,,,,,,,,,,,4930524N10Rik,
,,,,,,,,,,,,,,,,Samt4,
,,,,,,,,,,,,,,,,Samt2,
,,,,,,,,,,,,,,,,Cldn34b1,
,,,,,,,,,,,,,,,,Magea6,
,,,,,,,,,,,,,,,,Magea3,
,,,,,,,,,,,,,,,,Magea8,
,,,,,,,,,,,,,,,,Magea2,
,,,,,,,,,,,,,,,,Magea5,
,,,,,,,,,,,,,,,,Magea1,
,,,,,,,,,,,,,,,,Cldn34b2,
,,,,,,,,,,,,,,,,Sat1,
,,,,,,,,,,,,,,,,Acot9,
,,,,,,,,,,,,,,,,Prdx4,
,,,,,,,,,,,,,,,,Ptchd1,
,,,,,,,,,,,,,,,,Gm15156,
,,,,,,,,,,,,,,,,Gm15155,
,,,,,,,,,,,,,,,,Phex,
,,,,,,,,,,,,,,,,Sms,
,,,,,,,,,,,,,,,,Mbtps2,
,,,,,,,,,,,,,,,,Yy2,
,,,,,,,,,,,,,,,,Smpx,
,,,,,,,,,,,,,,,,Gm15169,
,,,,,,,,,,,,,,,,Klhl34,
,,,,,,,,,,,,,,,,Cnksr2,
,,,,,,,,,,,,,,,,Rps6ka3,
,,,,,,,,,,,,,,,,Eif1ax,
,,,,,,,,,,,,,,,,Map7d2,
,,,,,,,,,,,,,,,,A830080D01Rik,
,,,,,,,,,,,,,,,,Sh3kbp1,
,,,,,,,,,,,,,,,,Map3k15,
,,,,,,,,,,,,,,,,Pdha1,
,,,,,,,,,,,,,,,,Adgrg2,
,,,,,,,,,,,,,,,,Gm15241,
,,,,,,,,,,,,,,,,Phka2,
,,,,,,,,,,,,,,,,Gm15243,
,,,,,,,,,,,,,,,,Ppef1,
,,,,,,,,,,,,,,,,Rs1,
,,,,,,,,,,,,,,,,Cdkl5,
,,,,,,,,,,,,,,,,Gja6,
,,,,,,,,,,,,,,,,Scml2,
,,,,,,,,,,,,,,,,Gm15262,
,,,,,,,,,,,,,,,,Rai2,
,,,,,,,,,,,,,,,,Scml1,
,,,,,,,,,,,,,,,,Gm15205,
,,,,,,,,,,,,,,,,Nhs,
,,,,,,,,,,,,,,,,Gm15202,
,,,,,,,,,,,,,,,,Reps2,
,,,,,,,,,,,,,,,,Rbbp7,
,,,,,,,,,,,,,,,,Txlng,
,,,,,,,,,,,,,,,,Syap1,
,,,,,,,,,,,,,,,,Ctps2,
,,,,,,,,,,,,,,,,S100g,
,,,,,,,,,,,,,,,,Grpr,
,,,,,,,,,,,,,,,,Rnf138rt1,
,,,,,,,,,,,,,,,,Ap1s2,
,,,,,,,,,,,,,,,,Zrsr2,
,,,,,,,,,,,,,,,,Car5b,
,,,,,,,,,,,,,,,,Siah1b,
,,,,,,,,,,,,,,,,Tmem27,
,,,,,,,,,,,,,,,,Ace2,
,,,,,,,,,,,,,,,,Bmx,
,,,,,,,,,,,,,,,,Pir,
,,,,,,,,,,,,,,,,Figf,
,,,,,,,,,,,,,,,,Piga,
,,,,,,,,,,,,,,,,Asb11,
,,,,,,,,,,,,,,,,Asb9,
,,,,,,,,,,,,,,,,Mospd2,
,,,,,,,,,,,,,,,,Fancb,
,,,,,,,,,,,,,,,,Gm17604,
,,,,,,,,,,,,,,,,Glra2,
,,,,,,,,,,,,,,,,Gemin8,
,,,,,,,,,,,,,,,,Gpm6b,
,,,,,,,,,,,,,,,,Ofd1,
,,,,,,,,,,,,,,,,Trappc2,
,,,,,,,,,,,,,,,,Rab9,
,,,,,,,,,,,,,,,,Tceanc,
,,,,,,,,,,,,,,,,Egfl6,
,,,,,,,,,,,,,,,,Gm15226,
,,,,,,,,,,,,,,,,Gm1720,
,,,,,,,,,,,,,,,,Gm15230,
,,,,,,,,,,,,,,,,Gm8817,
,,,,,,,,,,,,,,,,Gm15232,
,,,,,,,,,,,,,,,,Gm15228,
,,,,,,,,,,,,,,,,Tmsb4x,
,,,,,,,,,,,,,,,,Tlr8,
,,,,,,,,,,,,,,,,Tlr7,
,,,,,,,,,,,,,,,,Prps2,
,,,,,,,,,,,,,,,,Gm15239,
,,,,,,,,,,,,,,,,Frmpd4,
,,,,,,,,,,,,,,,,Msl3,
,,,,,,,,,,,,,,,,Arhgap6,
,,,,,,,,,,,,,,,,Gm15261,
,,,,,,,,,,,,,,,,Amelx,
,,,,,,,,,,,,,,,,Hccs,
,,,,,,,,,,,,,,,,Gm15245,
,,,,,,,,,,,,,,,,Mid1,
,,,,,,,,,,,,,,,,4933400A11Rik,
,,,,,,,,,,,,,,,,Gm15726,
,,,,,,,,,,,,,,,,Gm15247,
,,,,,,,,,,,,,,,,Gm21887,
,,,,,,,,,,,,,,,,Asmt,
